date,year,month,day,day_of_week,is_weekend,WeatherStationName_en,daily_mean_temp,daily_max_temp,daily_min_temp,index_right,District_no,District
2025/2/7,2025,2,7,Friday,0,Hong Kong International Airport,14.9,18.1,12.3,17,T,Islands
2025/2/8,2025,2,8,Saturday,1,Hong Kong International Airport,13.9,16.8,11.1,17,T,Islands
2025/2/9,2025,2,9,Sunday,1,Hong Kong International Airport,14.2,16.8,11.4,17,T,Islands
2025/2/10,2025,2,10,Monday,0,Hong Kong International Airport,15.9,19,12.7,17,T,Islands
2025/2/11,2025,2,11,Tuesday,0,Hong Kong International Airport,18.7,22.2,15.8,17,T,Islands
2025/2/12,2025,2,12,Wednesday,0,Hong Kong International Airport,18.8,21.9,17.1,17,T,Islands
2025/2/13,2025,2,13,Thursday,0,Hong Kong International Airport,18.4,20.5,16.8,17,T,Islands
2025/2/14,2025,2,14,Friday,0,Hong Kong International Airport,17.4,20.3,15.3,17,T,Islands
2025/2/15,2025,2,15,Saturday,1,Hong Kong International Airport,19.7,23.9,16.3,17,T,Islands
2025/2/16,2025,2,16,Sunday,1,Hong Kong International Airport,21.2,24.7,18,17,T,Islands
2025/2/17,2025,2,17,Monday,0,Hong Kong International Airport,19.8,23,17.9,17,T,Islands
2025/2/18,2025,2,18,Tuesday,0,Hong Kong International Airport,18.8,22,17.2,17,T,Islands
2025/2/19,2025,2,19,Wednesday,0,Hong Kong International Airport,18.3,21.5,16.4,17,T,Islands
2025/2/20,2025,2,20,Thursday,0,Hong Kong International Airport,19.1,21.9,17.4,17,T,Islands
2025/2/21,2025,2,21,Friday,0,Hong Kong International Airport,17.9,20.3,16.5,17,T,Islands
2025/2/22,2025,2,22,Saturday,1,Hong Kong International Airport,17.4,20,15.9,17,T,Islands
2025/2/23,2025,2,23,Sunday,1,Hong Kong International Airport,16.7,18.6,15,17,T,Islands
2025/2/24,2025,2,24,Monday,0,Hong Kong International Airport,15,19.7,12.4,17,T,Islands
2025/2/25,2025,2,25,Tuesday,0,Hong Kong International Airport,16.7,19.5,14.5,17,T,Islands
2025/2/26,2025,2,26,Wednesday,0,Hong Kong International Airport,17.4,21.2,15.7,17,T,Islands
2025/2/27,2025,2,27,Thursday,0,Hong Kong International Airport,19.1,22.5,16.3,17,T,Islands
2025/2/28,2025,2,28,Friday,0,Hong Kong International Airport,21.3,26.4,17.4,17,T,Islands
2025/3/1,2025,3,1,Saturday,1,Hong Kong International Airport,22.8,25.8,20.3,17,T,Islands
2025/3/2,2025,3,2,Sunday,1,Hong Kong International Airport,23.9,27.2,21.9,17,T,Islands
2025/3/3,2025,3,3,Monday,0,Hong Kong International Airport,23.9,27.8,19.5,17,T,Islands
2025/3/4,2025,3,4,Tuesday,0,Hong Kong International Airport,24.6,28.1,21.4,17,T,Islands
2025/3/5,2025,3,5,Wednesday,0,Hong Kong International Airport,19.2,21.5,16.3,17,T,Islands
2025/3/6,2025,3,6,Thursday,0,Hong Kong International Airport,13.7,17,11.4,17,T,Islands
2025/3/7,2025,3,7,Friday,0,Hong Kong International Airport,12.7,14.5,11.3,17,T,Islands
2025/3/8,2025,3,8,Saturday,1,Hong Kong International Airport,15.9,19.2,13.3,17,T,Islands
2025/3/9,2025,3,9,Sunday,1,Hong Kong International Airport,18.9,21.4,16,17,T,Islands
2025/3/10,2025,3,10,Monday,0,Hong Kong International Airport,21.8,27.2,19,17,T,Islands
2025/3/11,2025,3,11,Tuesday,0,Hong Kong International Airport,23.2,27.6,19.8,17,T,Islands
2025/3/12,2025,3,12,Wednesday,0,Hong Kong International Airport,23.6,26.9,21.1,17,T,Islands
2025/3/13,2025,3,13,Thursday,0,Hong Kong International Airport,24.8,28.8,21.4,17,T,Islands
2025/3/14,2025,3,14,Friday,0,Hong Kong International Airport,23.3,26.9,20.9,17,T,Islands
2025/3/15,2025,3,15,Saturday,1,Hong Kong International Airport,22.2,27.4,19.1,17,T,Islands
2025/3/16,2025,3,16,Sunday,1,Hong Kong International Airport,17.8,20.8,15.8,17,T,Islands
2025/3/17,2025,3,17,Monday,0,Hong Kong International Airport,16.3,18.1,14.9,17,T,Islands
2025/3/18,2025,3,18,Tuesday,0,Hong Kong International Airport,16.9,19.7,14.5,17,T,Islands
2025/3/19,2025,3,19,Wednesday,0,Hong Kong International Airport,18.2,22.6,14.6,17,T,Islands
2025/3/20,2025,3,20,Thursday,0,Hong Kong International Airport,19.6,23.7,16.3,17,T,Islands
2025/3/21,2025,3,21,Friday,0,Hong Kong International Airport,20.3,24.1,16,17,T,Islands
2025/3/22,2025,3,22,Saturday,1,Hong Kong International Airport,21.2,25.3,16.7,17,T,Islands
2025/3/23,2025,3,23,Sunday,1,Hong Kong International Airport,21.6,27.4,16.9,17,T,Islands
2025/3/24,2025,3,24,Monday,0,Hong Kong International Airport,22.4,27.8,18,17,T,Islands
2025/3/25,2025,3,25,Tuesday,0,Hong Kong International Airport,23.8,30,19,17,T,Islands
2025/3/26,2025,3,26,Wednesday,0,Hong Kong International Airport,24.1,28,21.5,17,T,Islands
2025/3/27,2025,3,27,Thursday,0,Hong Kong International Airport,25.7,29,22.8,17,T,Islands
2025/3/28,2025,3,28,Friday,0,Hong Kong International Airport,25.8,29.8,20.1,17,T,Islands
2025/3/29,2025,3,29,Saturday,1,Hong Kong International Airport,15.3,20.5,12.8,17,T,Islands
2025/3/30,2025,3,30,Sunday,1,Hong Kong International Airport,12.6,13.7,11.4,17,T,Islands
2025/3/31,2025,3,31,Monday,0,Hong Kong International Airport,12.1,13.1,11.6,17,T,Islands
2025/4/1,2025,4,1,Tuesday,0,Hong Kong International Airport,15.3,19.2,11.6,17,T,Islands
2025/4/2,2025,4,2,Wednesday,0,Hong Kong International Airport,18.1,22,14.1,17,T,Islands
2025/4/3,2025,4,3,Thursday,0,Hong Kong International Airport,20.4,24.1,16.4,17,T,Islands
2025/4/4,2025,4,4,Friday,0,Hong Kong International Airport,20.6,22.6,18.8,17,T,Islands
2025/4/5,2025,4,5,Saturday,1,Hong Kong International Airport,19,20.7,18.3,17,T,Islands
2025/4/6,2025,4,6,Sunday,1,Hong Kong International Airport,20.3,22.3,18.7,17,T,Islands
2025/4/7,2025,4,7,Monday,0,Hong Kong International Airport,22.6,27.5,18.7,17,T,Islands
2025/4/8,2025,4,8,Tuesday,0,Hong Kong International Airport,23.5,27.3,20.7,17,T,Islands
2025/4/9,2025,4,9,Wednesday,0,Hong Kong International Airport,24.2,27.8,21.6,17,T,Islands
2025/4/10,2025,4,10,Thursday,0,Hong Kong International Airport,25,28.9,22.3,17,T,Islands
2025/4/11,2025,4,11,Friday,0,Hong Kong International Airport,25.3,28.3,23,17,T,Islands
2025/4/12,2025,4,12,Saturday,1,Hong Kong International Airport,25.2,28.9,20.4,17,T,Islands
2025/4/13,2025,4,13,Sunday,1,Hong Kong International Airport,21.8,25.1,19.7,17,T,Islands
2025/4/14,2025,4,14,Monday,0,Hong Kong International Airport,22.8,28.1,19,17,T,Islands
2025/4/15,2025,4,15,Tuesday,0,Hong Kong International Airport,25.5,31.8,20.1,17,T,Islands
2025/4/16,2025,4,16,Wednesday,0,Hong Kong International Airport,24.7,28.9,22,17,T,Islands
2025/4/17,2025,4,17,Thursday,0,Hong Kong International Airport,24.6,28.1,22.1,17,T,Islands
2025/4/18,2025,4,18,Friday,0,Hong Kong International Airport,25.8,27.5,24,17,T,Islands
2025/4/19,2025,4,19,Saturday,1,Hong Kong International Airport,26.7,30.1,25,17,T,Islands
2025/4/20,2025,4,20,Sunday,1,Hong Kong International Airport,27.5,31.5,25.8,17,T,Islands
2025/4/21,2025,4,21,Monday,0,Hong Kong International Airport,27.6,31.1,25.5,17,T,Islands
2025/4/22,2025,4,22,Tuesday,0,Hong Kong International Airport,28.2,31.5,26.4,17,T,Islands
2025/4/23,2025,4,23,Wednesday,0,Hong Kong International Airport,28.4,31.9,26.9,17,T,Islands
2025/4/24,2025,4,24,Thursday,0,Hong Kong International Airport,28.2,31,24.6,17,T,Islands
2025/4/25,2025,4,25,Friday,0,Hong Kong International Airport,25.4,26.8,23.8,17,T,Islands
2025/4/26,2025,4,26,Saturday,1,Hong Kong International Airport,23.6,26.4,21.8,17,T,Islands
2025/4/27,2025,4,27,Sunday,1,Hong Kong International Airport,24.5,27.3,22,17,T,Islands
2025/4/28,2025,4,28,Monday,0,Hong Kong International Airport,26.5,30,23.8,17,T,Islands
2025/4/29,2025,4,29,Tuesday,0,Hong Kong International Airport,26.5,30.8,23.9,17,T,Islands
2025/4/30,2025,4,30,Wednesday,0,Hong Kong International Airport,25.9,29.5,23.3,17,T,Islands
2025/5/1,2025,5,1,Thursday,0,Hong Kong International Airport,26.4,29.3,24.7,17,T,Islands
2025/5/2,2025,5,2,Friday,0,Hong Kong International Airport,27.9,32.9,25,17,T,Islands
2025/5/3,2025,5,3,Saturday,1,Hong Kong International Airport,27.4,29.7,25.3,17,T,Islands
